|14488|||67699|||1||||||||^|
|14517|||17671|||1||||||||^|
|14548|U||35559||B|4|B|L|0B||||10/15/1997|^|
|14560|||53484|||1||||||||^|
|14561|||53566|||2||||||||^|
|14564|||35440|||7||||||||^|
|14589|||12205|||2||||||||^|
|14611|U||3244||D|2|B|L|0D||||01/16/1991|^|
|14633|U||17306||D|1|B|L|0D||||01/04/1989|^|
|14634|||9927|||2||||||||^|
|14645|||27030|||2||||||||^|
|14646|U||48395||D|3|B|L|0D||||06/29/1993|^|
|14666|||65955|||1||||||||^|
|14667|D||14494||D|1|B|L|0D||||03/31/1980|^|
|14668|||72905|||2||||||||^|
|14670|||52120|||1||||||||^|
|14710|||55243|||4||||||||^|
|14711|||71527|||3||||||||^|
|14717|||71662|||1||||||||^|
|14718|U||42070||D|1|B|L|0D||||10/28/1993|^|
|14745|||67309|||2||||||||^|
|14746|U||660||B|2|B|L|0B||||10/06/1997|^|
|14769|||35557|||2||||||||^|
|14808|||25917|||1||||||||^|
|14809|||49403|||1||||||||^|
|14810|U||10694||B|1|B|L|0B||||10/30/1997|^|
|14839|||41442|||1||||||||^|
|14840|||28846|||4||||||||^|
|14843|U||63492||D|1|B|L|0D||||10/24/1996|^|
|14844|||73271|||1||||||||^|
|14863|||4153|||2||||||||^|
|14913|U||35668||D|2|B|L|0D||||06/02/1989|^|
|14914|||54550|||2||||||||^|
|14920|U||32972||D|1|B|L|0D||||05/30/1995|^|
|14921|||63780|||2||||||||^|
|14938|D||55288||D|1|B|L|0D||||05/05/1994|^|
|14939|U||58320||B|1|B|L|0B||||10/05/1981|^|
|14945|||35514|||2||||||||^|
|14971|||54465|||1||||||||^|
|14994|||138|||3||||||||^|
|15024|||51487|||1||||||||^|
|15025|||58838|||4||||||||^|
|15026|U||4475||B|2|B|L|0B||||08/13/1990|^|
|15032|||26926|||4||||||||^|
|15034|U||57845||B|1|B|L|0B||||01/27/1998|^|
|15035|||19652|||1||||||||^|
|15067|U||72347||B|1|B|L|0B||||03/25/1981|^|
|15068|U||30619||B|2|B|L|0B||||01/24/1980|^|
|15092|U||42067||D|2|B|L|0D||||11/05/2007|^|
|15093|||35729|||2||||||||^|
|15094|U||67683||D|1|B|L|0D||||06/03/1988|^|
|15120|||31216|||2||||||||^|
|15138|||54889|||1||||||||^|
|15242|||68179|||2||||||||^|
POTOMAC INSTRUMENTS AM-19 (204)|15243|U||40846||B|4|B|L|0B||||09/10/2012|^|
|15244|||61306|||2||||||||^|
|15245|||11611|||2||||||||^|
|15300|||54706|||2||||||||^|
|15301|||5969|||1||||||||^|
|15303|||48330|||2||||||||^|
|15378|||67812|||1||||||||^|
|15512|||73693|||1||||||||^|
|15513|||12130|||4||||||||^|
|15648|U||20432||D|2|B|P|0D||||08/23/1993|^|
|15783|U||2819||D|2|B|D|0D||||05/08/1998|^|
|15833|||22132|||1||||||||^|
|15860|U||21743||C|2|C|L|0C||||11/26/1986|^|
|15893|||65960|||1||||||||^|
|15896|||26641|||1||||||||^|
|15940|U||65209||B|1|B|L|0B||||06/12/1981|^|
|15942|||33298|||4||||||||^|
|15943|||49744|||2||||||||^|
|15961|||70860|||1||||||||^|
|15969|||1195|||2||||||||^|
|16017|U||11076||D|1|B|L|0D||||06/14/1994|^|
|16058|U||17480||C|2|C|L|0C||||12/31/1986|^|
|16059|||3060|||1||||||||^|
|16060|||18295|||1||||||||^|
|16061|||70509|||2||||||||^|
|16068|||35580|||2||||||||^|
|16081|||65774|||4||||||||^|
|16111|||40756|||4||||||||^|
|16138|||10348|||2||||||||^|
|16162|||40637|||1||||||||^|
|16195|U||48643||D|2|B|L|0D||||08/20/1993|^|
POTOMAC INSTRUMENTS AM-19 (204)|16196|U||43244|Y|B|1|B|L|0B||||07/11/2003|^|
|16197|||9637|||4||||||||^|
|16236|U||63917||B|2|B|L|0B||||10/28/1981|^|
|16239|||71614|||1||||||||^|
|16240|||72605|||1||||||||^|
|16241|||40045|||1||||||||^|
|16242|||27553|||1||||||||^|
|16243|||62208|||1||||||||^|
|16244|D||69992||D|1|B|L|0D||||11/06/1996|^|
|16300|||72261|||2||||||||^|
|16372|||12495|||2||||||||^|
|16428|D||63528||D|1|B|L|0D||||05/01/1980|^|
